"","id","movie_title","director_name","genre","country","num_voted_users","imdb_score"
"99",259,"Ender's Game","Gavin Hood","Action","USA",184561,6.7
"100",260,"Live Free or Die Hard","Len Wiseman","Action","USA",336235,7.2
"101",261,"The Lord of the Rings: The Fellowship of the Ring","Peter Jackson","Action","New Zealand",1238746,8.8
"102",265,"I, Robot","Alex Proyas","Action","USA",387632,7.1
"103",266,"Kingdom of Heaven","Ridley Scott","Action","USA",217373,7.2
"104",270,"The Island","Michael Bay","Action","USA",263329,6.9
"105",273,"Gladiator","Ridley Scott","Action","USA",982637,8.5
"106",274,"Minority Report","Steven Spielberg","Action","USA",399651,7.7
"107",276,"Casino Royale","Martin Campbell","Action","UK",470483,8
"108",278,"Terminator 2: Judgment Day","James Cameron","Action","USA",744891,8.5
"109",281,"True Lies","James Cameron","Action","USA",190439,7.2
"110",284,"The Other Guys","Adam McKay","Action","USA",189806,6.7
"111",289,"The Expendables 2","Simon West","Action","USA",246803,6.7
"112",290,"National Treasure","Jon Turteltaub","Action","USA",255447,6.9
"113",300,"Starship Troopers","Paul Verhoeven","Action","USA",221521,7.2
"114",302,"Legend of the Guardians: The Owls of Ga'Hoole","Zack Snyder","Action","USA",65785,7
"115",310,"In the Heart of the Sea","Ron Howard","Action","USA",71782,7
"116",312,"Green Zone","Paul Greengrass","Action","France",110364,6.9
"117",322,"The Fifth Element","Luc Besson","Action","France",343274,7.7
"118",329,"The Lord of the Rings: The Return of the King","Peter Jackson","Action","USA",1215718,8.9
"119",330,"The Lord of the Rings: The Two Towers","Peter Jackson","Action","USA",1100446,8.7
"120",335,"Rise of the Planet of the Apes","Rupert Wyatt","Action","USA",403836,7.6
"121",339,"The Incredibles","Brad Bird","Action","USA",479166,8
"122",344,"Unstoppable","Tony Scott","Action","USA",149947,6.8
"123",345,"Rush Hour 2","Brett Ratner","Action","USA",160440,6.6
"124",348,"Ice Age: Dawn of the Dinosaurs","Carlos Saldanha","Action","USA",166791,7
"125",353,"Tropic Thunder","Ben Stiller","Action","USA",307539,7
"126",355,"Die Hard with a Vengeance","John McTiernan","Action","USA",299258,7.6
"127",356,"Sherlock Holmes","Guy Ritchie","Action","USA",477300,7.6
"128",357,"Atlantis: The Lost Empire","Gary Trousdale","Action","USA",72591,6.8
"129",369,"Now You See Me 2","Jon M. Chu","Action","USA",40862,6.9
"130",371,"Spy Game","Tony Scott","Action","Germany",121259,7
"131",384,"The Fast and the Furious","Rob Cohen","Action","USA",272223,6.7
"132",387,"The Bourne Supremacy","Paul Greengrass","Action","USA",348232,7.8
"133",393,"Safe House","Daniel Espinosa","Action","USA",166693,6.8
"134",397,"Enemy of the State","Tony Scott","Action","USA",188116,7.3
"135",403,"The Rundown","Peter Berg","Action","USA",82731,6.7
"136",411,"Scott Pilgrim vs. the World","Edgar Wright","Action","USA",273921,7.5
"137",415,"Dredd","Pete Travis","Action","UK",203458,7.1
"138",419,"Hellboy II: The Golden Army","Guillermo del Toro","Action","USA",208422,7
"139",424,"Mission: Impossible","Brian De Palma","Action","USA",300542,7.1
"140",427,"Batman Returns","Tim Burton","Action","USA",215255,7
"141",431,"RED 2","Dean Parisot","Action","USA",125036,6.7
"142",440,"Face/Off","John Woo","Action","USA",283967,7.3
"143",444,"Con Air","Simon West","Action","USA",225282,6.8
"144",445,"Eagle Eye","D.J. Caruso","Action","USA",150764,6.6
"145",447,"The Book of Eli","Albert Hughes","Action","USA",227072,6.9
"146",453,"Conspiracy Theory","Richard Donner","Action","USA",76099,6.7
"147",454,"Fury","David Ayer","Action","USA",303185,7.6
"148",492,"Hidalgo","Joe Johnston","Action","USA",67856,6.7
"149",501,"Independence Day","Roland Emmerich","Action","USA",430055,6.9
"150",505,"X-Men","Bryan Singer","Action","USA",452928,7.4
"151",506,"Wanted","Timur Bekmambetov","Action","USA",299852,6.7
"152",507,"The Rock","Michael Bay","Action","USA",259492,7.4
"153",508,"Ice Age: The Meltdown","Carlos Saldanha","Action","USA",194249,6.9
"154",523,"Tears of the Sun","Antoine Fuqua","Action","USA",93494,6.6
"155",525,"The Man from U.N.C.L.E.","Guy Ritchie","Action","USA",175960,7.3
"156",532,"Hostage","Florent-Emilio Siri","Action","USA",93790,6.6
"157",533,"Titan A.E.","Don Bluth","Action","USA",52244,6.6
"158",546,"The Kingdom","Peter Berg","Action","USA",101386,7.1
"159",547,"Talladega Nights: The Ballad of Ricky Bobby","Adam McKay","Action","USA",130776,6.6
"160",550,"Jarhead","Sam Mendes","Action","Germany",143525,7.1
"161",567,"Die Hard 2","Renny Harlin","Action","USA",269858,7.1
"162",573,"We Were Soldiers","Randall Wallace","Action","USA",103241,7.1
"163",603,"Escape Plan","Mikael H<e5>fstr<f6>m","Action","USA",177653,6.7
"164",615,"Body of Lies","Ridley Scott","Action","USA",174248,7.1
"165",620,"Saving Private Ryan","Steven Spielberg","Action","USA",881236,8.6
"166",626,"The Matrix","Lana Wachowski","Action","USA",1217752,8.7
"167",628,"Total Recall","Paul Verhoeven","Action","USA",240241,7.5
"168",633,"The Mask of Zorro","Martin Campbell","Action","USA",135404,6.7
"169",651,"The Long Kiss Goodnight","Renny Harlin","Action","USA",60508,6.7
"170",669,"Clear and Present Danger","Phillip Noyce","Action","USA",69663,6.9
"171",672,"U-571","Jonathan Mostow","Action","France",65297,6.6
"172",679,"300","Zack Snyder","Action","USA",607235,7.7
"173",685,"The Bourne Identity","Doug Liman","Action","USA",407601,7.9
"174",686,"GoldenEye","Martin Campbell","Action","UK",199025,7.2
"175",691,"2 Guns","Baltasar Kormakur","Action","USA",156898,6.7
"176",693,"The Italian Job","F. Gary Gray","Action","USA",285623,7
"177",702,"RED","Robert Schwentke","Action","USA",238916,7.1
"178",708,"Jack Reacher","Christopher McQuarrie","Action","USA",226570,7
"179",715,"Man on Fire","Tony Scott","Action","USA",266310,7.7
"180",719,"Hellboy","Guillermo del Toro","Action","USA",244566,6.8
"181",732,"Shooter","Antoine Fuqua","Action","USA",256213,7.2
"182",735,"The Lego Movie","Phil Lord","Action","Australia",246698,7.8
"183",738,"Gangster Squad","Ruben Fleischer","Action","USA",173530,6.7
"184",759,"The Avengers","Joss Whedon","Action","USA",995415,8.1
"185",762,"Flyboys","Tony Bill","Action","UK",35565,6.6
"186",763,"The Last Castle","Rod Lurie","Action","USA",57100,6.9
"187",775,"The Great Raid","John Dahl","Action","USA",18209,6.7
"188",776,"Deadpool","Tim Miller","Action","USA",479047,8.1
"189",778,"American Sniper","Clint Eastwood","Action","USA",325264,7.3
"190",800,"Superman","Richard Donner","Action","USA",126357,7.3
"191",808,"The Equalizer","Antoine Fuqua","Action","USA",229574,7.2
"192",810,"Crimson Tide","Tony Scott","Action","USA",81026,7.3
"193",815,"Kill Bill: Vol. 1","Quentin Tarantino","Action","USA",735784,8.1
"194",817,"Kill Bill: Vol. 2","Quentin Tarantino","Action","USA",512749,8
"195",820,"Shanghai Noon","Tom Dey","Action","USA",96690,6.6
"196",823,"The Forbidden Kingdom","Rob Minkoff","Action","USA",88049,6.6
"197",827,"Ronin","John Frankenheimer","Action","UK",145422,7.3
"198",849,"Blade II","Guillermo del Toro","Action","USA",158267,6.7
"199",855,"Superman II","Richard Lester","Action","USA",76331,6.8
"200",865,"Grindhouse","Robert Rodriguez","Action","USA",155496,7.6
"201",885,"Robin Hood: Prince of Thieves","Kevin Reynolds","Action","USA",145257,6.9
"202",895,"22 Jump Street","Phil Lord","Action","USA",258186,7.1
"203",898,"Central Intelligence","Rawson Marshall Thurber","Action","USA",33354,6.6
"204",903,"Payback","Brian Helgeland","Action","USA",111368,7.1
"205",911,"Outbreak","Wolfgang Petersen","Action","USA",91176,6.6
"206",912,"Non-Stop","Jaume Collet-Serra","Action","UK",200647,7
"207",914,"V for Vendetta","James McTeigue","Action","USA",791783,8.2
"208",923,"13 Hours","Michael Bay","Action","USA",47764,7.4
"209",926,"Absolute Power","Clint Eastwood","Action","USA",39529,6.7
"210",932,"The Negotiator","F. Gary Gray","Action","Germany",107227,7.3
"211",959,"The Iron Giant","Brad Bird","Action","USA",128455,8
"212",961,"Free State of Jones","Gary Ross","Action","USA",3077,6.7
"213",964,"Run All Night","Jaume Collet-Serra","Action","USA",76010,6.6
"214",987,"Indiana Jones and the Last Crusade","Steven Spielberg","Action","USA",515306,8.3
"215",988,"Chappie","Neill Blomkamp","Action","USA",172965,6.9
"216",991,"Three Kings","David O. Russell","Action","USA",137854,7.1
"217",1010,"Star Trek: First Contact","Jonathan Frakes","Action","USA",97838,7.6
"218",1012,"Courage Under Fire","Edward Zwick","Action","USA",40126,6.6
"219",1024,"Patriot Games","Phillip Noyce","Action","USA",81442,6.9
"220",1031,"Blade","Stephen Norrington","Action","USA",191437,7.1
"221",1053,"Dune","David Lynch","Action","USA",97087,6.6
"222",1056,"16 Blocks","Richard Donner","Action","Germany",112769,6.6
"223",1063,"Dredd","Pete Travis","Action","UK",203461,7.1
"224",1077,"The Fugitive","Andrew Davis","Action","USA",213668,7.8
"225",1084,"Underworld: Evolution","Len Wiseman","Action","USA",156225,6.8
"226",1088,"Unleashed","Louis Leterrier","Action","France",85198,7
"227",1092,"The Mechanic","Simon West","Action","USA",117999,6.6
"228",1093,"21 Jump Street","Phil Lord","Action","USA",408302,7.2
"229",1098,"The Heat","Paul Feig","Action","USA",133177,6.6
"230",1105,"Licence to Kill","John Glen","Action","UK",74009,6.6
"231",1110,"Hero","Yimou Zhang","Action","China",149414,7.9
"232",1114,"Micmacs","Jean-Pierre Jeunet","Action","France",24657,7.2
"233",1116,"A Knight's Tale","Brian Helgeland","Action","USA",137003,6.9
"234",1119,"Man on a Ledge","Asger Leth","Action","USA",125198,6.6
"235",1121,"The Karate Kid","John G. Avildsen","Action","USA",126907,7.2
"236",1131,"Lone Survivor","Peter Berg","Action","USA",203963,7.6
"237",1148,"The Last of the Mohicans","Michael Mann","Action","USA",113068,7.8
"238",1166,"The Count of Monte Cristo","Kevin Reynolds","Action","UK",104991,7.7
"239",1168,"Unknown","Jaume Collet-Serra","Action","UK",210542,6.9
"240",1172,"Apocalypto","Mel Gibson","Action","USA",236000,7.8
"241",1173,"The Living Daylights","John Glen","Action","UK",69457,6.7
"242",1243,"Pandorum","Christian Alvart","Action","Germany",121432,6.8
"243",1256,"The Warlords","Peter Ho-Sun Chan","Action","Hong Kong",22897,7.1
"244",1258,"Snowpiercer","Joon-ho Bong","Action","South Korea",181472,7
"245",1259,"The Crow","Alex Proyas","Action","USA",136580,7.6
"246",1260,"Baahubali: The Beginning","S.S. Rajamouli","Action","India",62756,8.4
"247",1262,"The Fast and the Furious","Rob Cohen","Action","USA",272227,6.7
"248",1264,"Serenity","Joss Whedon","Action","USA",242599,8
"249",1268,"Red Cliff","John Woo","Action","China",36894,7.4
"250",1273,"Star Trek: Generations","David Carson","Action","USA",60504,6.6
"251",1300,"Rush","Ron Howard","Action","UK",312629,8.1
"252",1309,"Breakdown","Jonathan Mostow","Action","USA",38399,6.9
"253",1324,"Ip Man 3","Wilson Yip","Action","Hong Kong",21912,7.2
"254",1325,"Austin Powers: The Spy Who Shagged Me","Jay Roach","Action","USA",181225,6.6
"255",1326,"Batman","Tim Burton","Action","USA",269033,7.6
"256",1328,"Lethal Weapon 3","Richard Donner","Action","USA",128010,6.7
"257",1357,"Underworld: Rise of the Lycans","Patrick Tatopoulos","Action","USA",119974,6.6
"258",1362,"Resident Evil","Paul W.S. Anderson","Action","UK",198701,6.7
"259",1366,"In Time","Andrew Niccol","Action","USA",304318,6.7
"260",1423,"The Maze Runner","Wes Ball","Action","USA",310903,6.8
"261",1447,"Star Wars: Episode VI - Return of the Jedi","Richard Marquand","Action","USA",681857,8.4
"262",1465,"The Young and Prodigious T.S. Spivet","Jean-Pierre Jeunet","Action","France",11347,7.1
"263",1497,"Speed","Jan de Bont","Action","USA",260981,7.2
"264",1501,"The Hunt for Red October","John McTiernan","Action","USA",143696,7.6
"265",1509,"District 9","Neill Blomkamp","Action","South Africa",531737,8
"266",1523,"Looper","Rian Johnson","Action","USA",428916,7.4
"267",1528,"Four Brothers","John Singleton","Action","USA",109894,6.9
"268",1546,"Black Rain","Ridley Scott","Action","USA",39306,6.6
"269",1548,"Sicario","Denis Villeneuve","Action","USA",196217,7.6
"270",1559,"Midnight Run","Martin Brest","Action","USA",54042,7.6
"271",1560,"The Running Man","Paul Michael Glaser","Action","USA",112669,6.6
"272",1562,"Hanna","Joe Wright","Action","USA",159198,6.8
"273",1569,"9","Shane Acker","Action","USA",111117,7.1
"274",1616,"The Good Thief","Neil Jordan","Action","France",9004,6.6
"275",1622,"Machine Gun Preacher","Marc Forster","Action","USA",52972,6.8
"276",1636,"Indiana Jones and the Temple of Doom","Steven Spielberg","Action","USA",329969,7.6
"277",1640,"Die Hard","John McTiernan","Action","USA",592582,8.2
"278",1645,"Dawn of the Dead","Zack Snyder","Action","USA",194422,7.4
"279",1650,"For Your Eyes Only","John Glen","Action","UK",72085,6.8
"280",1657,"Kick-Ass","Matthew Vaughn","Action","UK",435864,7.7
"281",1677,"Kick-Ass 2","Jeff Wadlow","Action","USA",202967,6.6
"282",1679,"Octopussy","John Glen","Action","UK",74374,6.6
"283",1686,"Star Trek VI: The Undiscovered Country","Nicholas Meyer","Action","USA",55513,7.2
"284",1690,"The Blues Brothers","John Landis","Action","USA",142448,7.9
"285",1697,"Dark City","Alex Proyas","Action","Australia",156929,7.7
"286",1716,"Pineapple Express","David Gordon Green","Action","USA",255257,7
"287",1728,"Silverado","Lawrence Kasdan","Action","USA",28247,7.2
"288",1746,"Taken","Pierre Morel","Action","France",483756,7.9
"289",1755,"Cloverfield","Matt Reeves","Action","USA",296787,7
"290",1765,"Tombstone","George P. Cosmatos","Action","USA",95241,7.8
"291",1772,"The Grey","Joe Carnahan","Action","USA",203111,6.8
"292",1779,"Nothing to Lose","Steve Oedekerk","Action","USA",36253,6.7
"293",1788,"Kiss of the Dragon","Chris Nahon","Action","France",53126,6.6
"294",1804,"Tora! Tora! Tora!","Richard Fleischer","Action","Japan",25019,7.5
"295",1840,"Big Trouble in Little China","John Carpenter","Action","USA",92464,7.3
"296",1898,"The Princess and the Cobbler","Richard Williams","Action","UK",2541,7.2
"297",1903,"King Kong","Peter Jackson","Action","New Zealand",316020,7.2
"298",1905,"Star Wars: Episode V - The Empire Strikes Back","Irvin Kershner","Action","USA",837759,8.8
"299",1906,"Bad Boys","Michael Bay","Action","USA",172405,6.8
"300",1942,"Underworld","Len Wiseman","Action","UK",208092,7
"301",1953,"The Island","Michael Bay","Action","USA",263336,6.9
"302",1984,"The Transporter","Louis Leterrier","Action","France",237248,6.8
"303",1985,"Never Back Down","Jeff Wadlow","Action","USA",80556,6.6
"304",1995,"Raiders of the Lost Ark","Steven Spielberg","Action","USA",661017,8.5
"305",2003,"Jackass 3D","Jeff Tremaine","Action","USA",47794,7.1
"306",2046,"Team America: World Police","Trey Parker","Action","USA",136048,7.2
"307",2062,"Street Kings","David Ayer","Action","USA",94892,6.8
"308",2063,"The World's End","Edgar Wright","Action","UK",185587,7
"309",2069,"Quigley Down Under","Simon Wincer","Action","Australia",15230,6.8
"310",2089,"Kung Fu Hustle","Stephen Chow","Action","Hong Kong",99353,7.8
"311",2100,"The Man Who Knew Too Little","Jon Amiel","Action","USA",23928,6.6
"312",2123,"Death Sentence","James Wan","Action","USA",60156,6.8
"313",2144,"A Most Violent Year","J.C. Chandor","Action","USA",45799,7
"314",2155,"Equilibrium","Kurt Wimmer","Action","USA",261317,7.5
"315",2160,"Steamboy","Katsuhiro <d4>tomo","Action","Japan",13727,6.9
"316",2168,"The Baader Meinhof Complex","Uli Edel","Action","Germany",29602,7.4
"317",2184,"The Bounty","Roger Donaldson","Action","UK",17982,7
"318",2197,"The Mask","Chuck Russell","Action","USA",265818,6.9
"319",2201,"Star Trek III: The Search for Spock","Leonard Nimoy","Action","USA",58743,6.6
"320",2211,"Predator","John McTiernan","Action","USA",290949,7.8
"321",2249,"Dragonslayer","Matthew Robbins","Action","USA",10832,6.7
"322",2254,"RocknRolla","Guy Ritchie","Action","UK",194489,7.3
"323",2264,"Renaissance","Christian Volckman","Action","France",14325,6.7
"324",2273,"Aliens","James Cameron","Action","USA",488537,8.4
"325",2280,"Hero","Yimou Zhang","Action","China",149414,7.9
"326",2283,"Smokin' Aces","Joe Carnahan","Action","UK",121058,6.7
"327",2286,"TRON: Legacy","Joseph Kosinski","Action","USA",264186,6.8
"328",2303,"Running Scared","Wayne Kramer","Action","Germany",88590,7.4
"329",2337,"Hot Fuzz","Edgar Wright","Action","UK",352695,7.9
"330",2355,"Highlander","Russell Mulcahy","Action","UK",98629,7.2
"331",2368,"Wasabi","Gerard Krawczyk","Action","France",29392,6.6
"332",2370,"Beverly Hills Cop","Martin Brest","Action","USA",126464,7.3
"333",2374,"Top Gun","Tony Scott","Action","USA",219171,6.9
"334",2375,"Crouching Tiger, Hidden Dragon","Ang Lee","Action","Taiwan",217740,7.9
"335",2424,"Grosse Pointe Blank","George Armitage","Action","USA",73347,7.4
"336",2491,"District B13","Pierre Morel","Action","France",55928,7.2
"337",2515,"The Spy Who Loved Me","Lewis Gilbert","Action","UK",76477,7.1
"338",2569,"Young Guns","Christopher Cain","Action","USA",42614,6.8
"339",2615,"Attack the Block","Joe Cornish","Action","UK",82331,6.6
"340",2618,"Operation Chromite","John H. Lee","Action","South Korea",90,6.8
"341",2623,"True Romance","Tony Scott","Action","USA",163492,8
"342",2633,"Machete","Ethan Maniquis","Action","USA",165792,6.7
"343",2636,"Tae Guk Gi: The Brotherhood of War","Je-kyu Kang","Action","South Korea",31943,8.1
"344",2645,"Star Trek II: The Wrath of Khan","Nicholas Meyer","Action","USA",91414,7.7
"345",2665,"Casino Royale","Martin Campbell","Action","UK",470501,8
"346",2677,"Tales from the Crypt: Demon Knight","Ernest R. Dickerson","Action","USA",16646,6.7
"347",2680,"Crank","Mark Neveldine","Action","USA",196422,7
"348",2686,"House of Flying Daggers","Yimou Zhang","Action","China",92295,7.6
"349",2724,"Star Wars: Episode IV - A New Hope","George Lucas","Action","USA",911097,8.7
"350",2775,"Stripes","Ivan Reitman","Action","USA",48629,6.9
"351",2797,"The Last Dragon","Michael Schultz","Action","USA",9424,6.9
"352",2861,"Romeo Is Bleeding","Peter Medak","Action","UK",10735,6.6
"353",2885,"Shaolin Soccer","Stephen Chow","Action","Hong Kong",56923,7.3
"354",2903,"The Good, the Bad, the Weird","Jee-woon Kim","Action","South Korea",26156,7.3
"355",2906,"You Only Live Twice","Lewis Gilbert","Action","UK",75280,6.9
"356",2909,"It's a Mad, Mad, Mad, Mad World","Stanley Kramer","Action","USA",29323,7.6
"357",2918,"Thunderball","Terence Young","Action","UK",82073,7
"358",2919,"Set It Off","F. Gary Gray","Action","USA",10139,6.8
"359",2929,"Henry V","Kenneth Branagh","Action","UK",23441,7.7
"360",2930,"The Way of the Gun","Christopher McQuarrie","Action","USA",27536,6.7
"361",2937,"The Legend of Suriyothai","Chatrichalerm Yukol","Action","Thailand",1666,6.6
"362",2956,"All Is Lost","J.C. Chandor","Action","USA",59545,6.9
"363",2958,"The Karate Kid","John G. Avildsen","Action","USA",126916,7.2
"364",2976,"On Her Majesty's Secret Service","Peter R. Hunt","Action","UK",59941,6.8
"365",3007,"Wild Target","Jonathan Lynn","Action","UK",29994,6.9
"366",3012,"Akira","Katsuhiro <d4>tomo","Action","Japan",106160,8.1
"367",3017,"Rumble in the Bronx","Stanley Tong","Action","Hong Kong",29843,6.7
"368",3034,"Harry Brown","Daniel Barber","Action","UK",74435,7.2
"369",3038,"Diamonds Are Forever","Guy Hamilton","Action","UK",74249,6.7
"370",3045,"Live and Let Die","Guy Hamilton","Action","UK",74957,6.8
"371",3051,"Desperado","Robert Rodriguez","Action","USA",138707,7.2
"372",3053,"Logan's Run","Michael Anderson","Action","USA",39847,6.8
"373",3054,"The Man with the Golden Gun","Guy Hamilton","Action","UK",73950,6.8
"374",3062,"Skyfall","Sam Mendes","Action","UK",522048,7.8
"375",3104,"Elite Squad","Jose Padilha","Action","Brazil",81644,8.1
"376",3123,"The Terminator","James Cameron","Action","UK",600266,8.1
"377",3144,"Escape from New York","John Carpenter","Action","UK",91017,7.2
"378",3166,"Only the Strong","Sheldon Lettich","Action","USA",4195,6.7
"379",3182,"The Protector","Prachya Pinkaew","Action","Thailand",30210,7.1
"380",3212,"A Nightmare on Elm Street 3: Dream Warriors","Chuck Russell","Action","USA",49820,6.6
